"word","count"
"You","464"
"I","364"
"In","329"
"Me","328"
"Love","302"
"My","285"
"To","263"
"It","221"
"On","196"
"For","138"
"Your","138"
"Don't","123"
"All","122"
"No","113"
"Blues","106"
"Be","102"
"Up","95"
"Time","86"
"One","84"
"This","81"
"I'm","79"
"Man","77"
"Do","77"
"Song","76"
"in","75"
"We","73"
"Down","73"
"Night","71"
"That","69"
"From","67"
"With","66"
"Little","65"
"Way","64"
"Like","63"
"Go","62"
"Heart","62"
"World","62"
"Baby","60"
"Get","59"
"What","59"
"When","58"
"Out","57"
"Will","57"
"So","56"
"Got","56"
"Come","56"
"Let","53"
"Girl","52"
"Never","51"
"Back","51"
