"artist_hotttnesss","artist_id","artist_name","artist_mbtags_count","bars_confidence","bars_start","beats_confidence","beats_start","duration","end_of_fade_in","key","key_confidence","latitude","location","longitude","loudness","mode","mode_confidence","release_id","release_name","song_id","start_of_fade_out","tatums_confidence","tatums_start","tempo","terms_freq","time_signature","time_signature_confidence","title","year"
"0.28404741","AR4ABL21187FB3913A","Richard Burton","0","0.132","1.49595","0.612","0.42142","171.49342","0.085","2","0.45","40.99471","Pennsylvania","-77.60454","-37.398",1,"0.685",577023,"Fifteen Poems By Dylan Thomas","SOJDYQY12AB0188C97","165.216","0.531","0.1441","109.823","0.986476662","3","0.659","I See The Boys Of Summer",0
"0.572583336","ARF0W6Z1187B9AC325","Cradle Of Filth","2","0.192","0.93541","0.616","0.32747","321.35791","0","2","0.341","37.1573567501336","Not available","-63.9333578685195","-6.2",0,"0.369",179267,"Bitter Suites to Succubi","SOFPYXC12A58A7A4B9","312.761","0.114","0.17724","193.693","0.998098407","4","0.617","Summer Dying Fast",1994
"0.586433379","AR6892W1187B9AC71B","Placebo","3","0.381","1.03723","0.775","0.48534","241.52771","0","10","0.532","37.1573567501336","London, England","-63.9333578685195","-7.255",0,"0.523",314,"Sleeping With Ghosts","SODWXQV12A6310F10D","229.837","0.585","0.07522","108.264","0.999766449","4","0.902","English Summer Rain",2003
"0.362902986","AR6QQY41187B990574","Danny Wilson","1","0.242","0.81851","0.844","0.50946","167.20934","0","7","0.605","56.46137","Dundee, Scotland","-2.96761","-7.928",1,"0.677",160060,"Bebop Moptop","SOFHQCR12A8C138A74","156.34","0.347","0.3557","196.034","0.91052814","4","0.868","The Second Summer Of Love",1989
"0.530262813","ARZKUQF11F4C8456E8","The Moody Blues","0","0.082","1.05956","0","0.40685","194.97751","3.268","2","0.043","52.47859","Birmingham","-1.9086","-9.769",1,"0.425",22126,"Caught Live + 5","SOYTMRC12A6D4F5B58","185.94","0.214","0.08965","91.453","0.898790619","4","0","Long Summer Days",1977
"0.349314408","ARYC3YP1187FB4C64D","Leonid Rudenko","0","0.004","0.66542","0.991","0.19439","395.28444","0","6","0.288","37.1573567501336","Not available","-63.9333578685195","-5.299",1,"0.437",366584,"Summerfish","SOCNOQB12AB0183A1E","392.522","0.726","0.19439","127.981","0.956321947","4","0","Summerfish",2006
"0.38065636","AR1JD6E1187FB5696C","James Last","3","0","0.25772","0","0.25772","227.94404","3.901","0","0.708","53.07516","Bremen, Germany","8.80466","-10.242",1,"0.761",226418,"James Last And Friends","SOFEYIV12A6D4FAC9A","215.754","0","0.25772","84.001","1","1","0.979","Summer Rain",1998
"0.415897129","ARJA5XT1187B9B89AA","David Tao","2","0.021","0.18974","0.941","0.18974","260.33587","0.38","2","0.463","37.1573567501336","Not available","-63.9333578685195","-4.602",1,"0.422",587631,"Zero To Hero","SOSBBAV12AB018F27C","255.042","1","0.18974","136.749","0.913590991","4","0.863","Summer Love Triangle",2009
"0.398349517","ARNUFGE1187B9B7881","THE CHIFFONS","1","0.097","0.99071","0.791","0.43934","156.36853","0.363","4","0.35","40.85715","New York, NY [The Bronx]","-73.85678","-9.059",1,"0.315",43673,"Sweet Talkin' Girls: The Best Of The Chiffons","SOJYYCA12A6D4F9C1F","149.519","0.769","0.43934","113.431","0.923679184","4","0.401","When Summer's Through",1963
"0.359324727","AREENKN1187B98F35D","The Plasmatics","1","0.946","1.51218","0.519","1.0077","286.9024","4.818","11","0.701","40.71455","New York, NY","-74.00712","-4.907",1,"0.511",256978,"Beyond The Valley Of 1984","SOKHOUY12A8C1358E0","276.614","0.063","1.0077","119.38","0.885545496","4","0.71","Summer Nite",1981
"0.554938523","AR2FAMK1187FB4CF60","AFI","1","0.278","0.50619","0.815","0.16592","187.03628","2.554","1","0.387","37.1573567501336","Ukiah, CA","-63.9333578685195","-4.183",1,"0.444",37491,"DECEMBERUNDERGROUND","SOPXTAX12A6D4F573B","179.008","0.158","0.16592","170.046","0.941035412","4","0.794","Summer Shudder",2006
"0.372307464","ARNQ7UN1187B98EE77","Novaspace","1","0.003","0.89408","1","0.43823","356.23138","0.415","0","0.009","37.1573567501336","Berlin, Germany","-63.9333578685195","-5.861",1,"0.365",125275,"DJ Edition","SOUNBPD12A6D4FDB4E","348.839","1","0.20974","131.985","1","4","0.377","Summer Of Love",2004
"0.463900095","AR5O6W51187FB46984","SNAP!","2","0.015","0.77011","0.546","0.37325","385.35791","0.345","6","0.769","51.16418","Germany","10.45415","-11.804",0,"0.636",413547,"Attack - The Remixes Part 1","SOGRXSE12A6D4FB47C","380.534","0.342","0.17881","150.037","0.923736367","4","0","The First The Last Eternity (Till The End) (feat. Summer) (GDC Mix)",0
"0.581505803","ARAN38V1187FB4C4EE","The Almost","0","0.004","0.60963","0.952","0.16094","240.79628","0.103","4","0.222","37.1573567501336","Salt Lake City, UT","-63.9333578685195","-5.353",0,"0.422",627198,"Monster Monster","SOWNOXA12AB0184353","231.253","0.693","0.16094","136.147","0.999781348","4","0.69","Summer Summer",2009
"0.36091623","AR3EABF1187B98AD35","Sophie Tucker","0","0.44","2.03039","0.817","0.60834","72.01914","0","0","0.702","59.46148","Russia","108.83178","-14.57",1,"0.516",301426,"The Golden Jubilee Album","SOAGASM12A8C13DEBF","72.019","0.892","0.2567","89.898","0.862050146","3","0.779","In The Good Old Summertime",0
"0.367071449","ARH8HRR1187FB5CBE8","Sharon Shannon_ Carol Keogh","2","0.014","1.97916","0.514","0.58377","199.88853","0.188","8","0.942","37.1573567501336","Not available","-63.9333578685195","-9.565",1,"0.934",601587,"Saints & Scoundrels","SOHXHIA12AC9072E10","189.614","0.693","0.06005","85.999","0.880581008","4","0.249","Summer Sands (feat. Carol Keogh)",0
"0.595069407","ARNDL191187FB51583","Jimi Hendrix","3","0.422","0.65455","0.422","0.65455","228.91057","0.073","1","0.477","37.1573567501336","Seattle, USA","-63.9333578685195","-7.048",1,"0.52",740406,"Valleys Of Neptune","SOOBDVS12AB0188EA4","224.386","1","0.16116","86.104","0.924265781","1","0","Lullaby For The Summer",2010
